dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
jena_weather/10T/long,TTM-R3-PT,1477.107622896997,1477.107622896997,10.005134149632358,10.005134149632358,0.6625251104121118,0.8131019952347998,0.6510888957052814,6.77550259036128,38.43315785746726,0.2351790831198203,0.061223131456635486,0.051582476108133504,Nature,21,720,2048,46944,False,0,0,0
jena_weather/H/short,TTM-R3-PT,1118.0014531524478,1118.0014531524478,8.448221059573692,8.448221059573692,0.5208236753871661,1.4166875834166264,0.6103864240362915,5.345636682160747,33.43652872462164,0.20496378494555403,0.05178705536953304,0.043764536715442545,Nature,21,48,2048,7872,False,0,0,0
jena_weather/H/medium,TTM-R3-PT,1286.291325899739,1286.291325899739,10.230373746752456,10.230373746752456,0.7693190863331089,1.8264249256451304,0.6682033341562997,6.580198836398055,35.86490381835338,0.21946369056269618,0.06260146659445558,0.05188442627080763,Nature,21,480,2048,7824,False,0,0,0
jena_weather/H/long,TTM-R3-PT,1165.0728436383422,1165.0728436383422,11.24743632355349,11.24743632355349,0.9516799664299607,2.527374974475611,0.6531185638243276,9.265058341243781,34.133163399227186,0.20551948113189475,0.06772203473332553,0.0556299475790922,Nature,21,720,2048,7344,False,0,0,0
kdd_cup_2018/D/short,TTM-R3-PT,2839.152053379208,2839.152053379208,20.812530868916177,20.812530868916177,1.1718608671584063,0.5157257160247861,0.4545230342171553,9.25010584299099,53.283694066564195,1.193611288661757,0.46622277651631827,0.3711263873471322,Nature,1,30,512,336,False,0,0,0
m4_daily/D/short,TTM-R3-PT,389351.1882551127,389351.1882551127,187.08022187175052,187.08022187175052,3.488234555443103,0.039838676636501154,0.031922037050121026,31.34968654796048,623.9801184774341,0.09638768910807988,0.028898725664601478,0.02353942017808999,Econ/Fin,1,14,156,93,False,0,0,0
m4_hourly/H/short,TTM-R3-PT,1325184.742939777,1325184.742939777,251.17884778419747,251.17884778419747,0.8119589610513025,0.10599184961716784,0.09722248696667533,7.030123654255498,1151.1666877302248,0.15715966225196998,0.034291456922226744,0.027263145836741595,Econ/Fin,1,48,768,700,False,0,0,0
m4_weekly/W/short,TTM-R3-PT,337478.6205050981,337478.6205050981,279.75506084532867,279.75506084532867,2.1102195331270996,0.06962061578485078,0.07086156478662299,16.85828965515247,580.92910110021,0.10583627936518597,0.05096703662697627,0.040678989223789166,Econ/Fin,1,13,156,80,False,0,0,0
kdd_cup_2018/H/short,TTM-R3-PT,4526.942148565729,4526.942148565729,22.9256894813497,22.9256894813497,0.9565218534548543,0.832958610047064,0.5145952258895043,9.026148006994854,67.282554563317,1.4083457213933541,0.47987620120260366,0.395514770095792,Nature,1,48,2048,8544,False,0,0,0
kdd_cup_2018/H/medium,TTM-R3-PT,5458.99236836122,5458.99236836122,26.77860028319045,26.77860028319045,1.1033478422377583,0.9181598045171756,0.6058972069478358,9.092323651652682,73.88499420289088,1.5465467406248885,0.5605246022316734,0.44838729461969173,Nature,1,480,2048,8544,False,0,0,0
kdd_cup_2018/H/long,TTM-R3-PT,4267.08259462056,4267.08259462056,25.902427031698885,25.902427031698885,1.0822088136922063,1.0782862447732977,0.6650209841368746,8.424367365047996,65.32291018180803,1.5327394358464295,0.6077756071357043,0.48326966186732595,Nature,1,720,2048,8064,False,0,0,0
loop_seattle/5T/long,TTM-R3-PT,90.6609077307035,90.6609077307035,5.299148793582618,5.299148793582618,0.8382236871925226,0.16563135576818772,0.1199563864503175,9.77450331982018,9.521602161963264,0.16834384790299067,0.09369002016129714,0.07848205433518049,Transport,1,720,2048,94320,False,0,0,0
restaurant/D/short,TTM-R3-PT,160.7217252738656,160.7217252738656,7.755010233101774,7.755010233101774,0.737328670064969,0.7261620231614782,0.41991993229455177,4.961248713364405,12.677607237719016,0.5834528588006667,0.3569035391055186,0.27980524847688204,Sales,1,30,512,37,False,0,0,0
saugeen/M/short,TTM-R3-PT,417.75286640487553,417.75286640487553,12.61976761408845,12.61976761408845,0.7393071871273573,0.3812031626611427,0.36662122713097506,5.396843926300731,20.439003557044447,0.6136402032188565,0.37888328272319116,0.299957170847414,Nature,1,12,768,696,False,0,0,0
saugeen/D/short,TTM-R3-PT,1099.8146592967591,1099.8146592967591,12.123577201632418,12.123577201632418,2.693334782939217,0.2874535803828317,0.3119047082136679,34.03181410079728,33.16345366961588,1.0741721660630223,0.3926855541900684,0.3511477814103825,Nature,1,30,2048,23141,False,0,0,0
m4_quarterly/Q/short,TTM-R3-PT,1939434.109551641,1939434.109551641,579.3858749989669,579.3858749989669,1.2237270106357034,0.11728548462689084,0.10416556421332257,11.028758935794901,1392.635670070116,0.23310269212320484,0.09697899468108412,0.07958250643034719,Econ/Fin,1,8,156,16,False,0,0,0
