dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
saugeen/D/short,FLAIR,1228.608939,1231.966619,14.72686,3.272319,0.363701,0.382326,68.18581,35.051518,1.135327,0.477007,0.439209,Nature,1.0
saugeen/M/short,FLAIR,456.867515,471.128939,13.436952,0.787388,0.377592,0.373823,8.8189,21.374459,0.641725,0.403418,0.344567,Nature,1.0
saugeen/W/short,FLAIR,1266.968299,1341.821898,17.631562,1.430239,0.479975,0.4635,20.129617,35.594498,1.07445,0.532223,0.464748,Nature,1.0
solar/10T/short,FLAIR,30.718916,28.732333,2.512202,1.113748,2.865318,1.597631,32.46704,5.542465,1.612302,0.730799,0.739499,Energy,1.0
solar/10T/medium,FLAIR,32.285488,29.144802,2.72141,1.202216,2.975353,1.526288,24.81524,5.682032,1.260865,0.603892,0.582982,Energy,1.0
solar/10T/long,FLAIR,33.615269,32.950601,2.91844,1.282497,2.247992,1.548964,25.956038,5.797868,1.253116,0.630774,0.593517,Energy,1.0
solar/D/short,FLAIR,156616.627492,163228.913023,283.320904,1.106293,1.164147,0.458224,6.974232,395.748187,0.571721,0.409302,0.326673,Energy,1.0
solar/H/short,FLAIR,744.455708,752.377103,11.619973,0.896717,4.883866,1.41166,14.929178,27.284716,1.005724,0.428316,0.416806,Energy,1.0
solar/H/medium,FLAIR,944.740737,967.51114,12.684441,0.968355,6.083946,1.410593,17.058413,30.736635,1.107205,0.456923,0.447573,Energy,1.0
solar/H/long,FLAIR,929.439517,997.296112,13.477972,1.022344,7.952498,1.413964,14.008011,30.48671,1.05703,0.467306,0.44089,Energy,1.0
solar/W/short,FLAIR,4077347.24814,3977926.586558,1652.997112,1.826742,0.382885,0.304051,10.133536,2019.244227,0.412178,0.337418,0.280321,Energy,1.0
sz_taxi/15T/short,FLAIR,18.533259,18.714639,2.917921,0.582821,1306270471980.2302,0.415518,4.801468,4.305027,0.402538,0.272838,0.217082,Transport,1.0
sz_taxi/15T/medium,FLAIR,18.712455,18.910555,2.969173,0.58057,9810524484365.896,0.43454,4.902065,4.32579,0.402587,0.276331,0.221268,Transport,1.0
sz_taxi/15T/long,FLAIR,19.150132,19.497278,3.042311,0.580186,6212742905850.915,0.463856,4.620976,4.376086,0.405043,0.281591,0.224704,Transport,1.0
sz_taxi/H/short,FLAIR,8.450377,8.512113,2.051811,0.620046,1.228518,0.34008,4.88059,2.906953,0.270801,0.191139,0.151787,Transport,1.0
temperature_rain/D/short,FLAIR,190.192881,199.440012,6.608534,1.598514,56.475201,1.493477,21.742551,13.791044,1.62357,0.777999,0.63979,Nature,1.0
us_births/D/short,FLAIR,206045.486783,205260.686126,294.295415,0.432954,0.028034,0.027822,4.659946,453.922336,0.042552,0.027588,0.022556,Healthcare,1.0
us_births/M/short,FLAIR,53967221.339509,41819219.916002,5339.972886,0.605095,0.016438,0.016592,4.911271,7346.238584,0.022817,0.016586,0.013374,Healthcare,1.0
us_births/W/short,FLAIR,4603854.104691,4555166.250777,1518.899989,1.380526,0.020485,0.020491,12.842605,2145.659364,0.029127,0.020619,0.017214,Healthcare,1.0
