dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples,insample_error
electricity/H/medium,TTM-R3-FT,4365500.140978589,4365500.140978589,231.34666287694526,231.34666287694526,1.0771711797328865,0.2123985436455395,0.13302756636427276,9.429499650521558,2089.377931581213,0.8155530821377118,0.0903022287637449,0.07288267882788296,Energy,1,480,2048,31224,True,1370,1000,0
electricity/H/long,TTM-R3-FT,4750403.866628279,4750403.866628279,247.4041365367892,247.4041365367892,1.1846056063276544,0.29536903879981774,0.14401980757445587,10.796451694236689,2179.5421231598802,0.8596108664614279,0.09757612936895292,0.07874249558078547,Energy,1,720,2048,31464,True,1370,1000,0
electricity/W/short,TTM-R3-FT,60407464330.51136,60407464330.51136,30190.57509338104,30190.57509338104,1.5692385583184043,0.24070669934556524,0.10367193458513484,12.609264881089688,245779.30004479905,0.5607872737112118,0.06888493170622909,0.053206589193476456,Energy,1,8,156,184,True,3724,1000,0
electricity/15T/medium,TTM-R3-FT,302581.9948436473,302581.9948436473,55.6344842975612,55.6344842975612,0.8232386073067746,0.12581955140528253,0.13142576828656974,7.64258146525298,550.0745357164311,0.9478339048831538,0.09586382767062304,0.07841593107477339,Energy,1,480,2048,130656,True,1370,1000,0
bizitobs_service/10S/medium,TTM-R3-FT,68329.1141130137,68329.1141130137,54.752721384086286,54.752721384086286,1.1477536375461315,0.08421236975630524,0.0763697894980088,12.818890492807267,261.3983820015221,0.19673455867319284,0.04120818344465414,0.03586256318532996,Web/CloudOps,2,600,2048,7635,True,10021,1000,0
ett1/15T/short,TTM-R3-FT,5.074050166335674,5.074050166335674,1.0827267769522184,1.0827267769522184,0.6779060011280235,0.5153399941906829,0.23376965293324453,5.784003816688526,2.252565241305049,0.42582854719451274,0.20468040702387938,0.16725117380625462,Energy,7,48,2048,68720,True,1001,1000,0
m_dense/H/short,TTM-R3-FT,40205.22797297994,40205.22797297994,84.51855415097542,84.51855415097542,0.766145448948875,0.2785517179456541,0.2085129354581326,10.376646130276955,200.512413513428,0.3556590570818711,0.1499148543900297,0.12643918246341534,Transport,1,48,2048,16560,True,80388,50000,0
electricity/15T/long,TTM-R3-FT,331785.2372287471,331785.2372287471,59.013666317212376,59.013666317212376,0.8712555509735309,0.13427796665136263,0.13317191058880973,7.582773513524457,576.0080183719208,0.9087231724492433,0.09310128394603698,0.0752711025656116,Energy,1,720,2048,125856,True,1370,1000,0
bizitobs_service/10S/long,TTM-R3-FT,131679.9338442618,131679.9338442618,77.52057834698213,77.52057834698213,1.3520892270534783,0.09805385539952993,0.08752610562910575,23.88164453088252,362.8772986069283,0.268831103703656,0.05742972271004183,0.0540628986943326,Web/CloudOps,2,900,2048,7935,True,10021,1000,0
ett1/15T/medium,TTM-R3-FT,9.06991003011546,9.06991003011546,1.573638870234106,1.573638870234106,0.98460941720324,0.7504212108851974,0.38438863153011077,7.654790207499003,3.0116291322331605,0.5740194224920299,0.29993708914383627,0.23823728923670423,Energy,7,480,2048,62480,True,1001,1000,0
